ID,exerciseName,pos1,pos2,pos3,pos4,videolink,audioLink
96,Smith machine upright row,Lie on your back (supine) either on the floor or on a bench.,Place a stability ball either between your lower legs (beginner) or between your feet (more advanced).,Raise the ball and your feet a little off the floor.,"To protect your lower back, press it against the floor.Cross your hands behind your head.",https://i.imgur.com/Q27esFN.mp4,https://od.lk/s/NzVfMzI5OTEwODVf/96.mp3
97,Seated Smith machine behind-the-neck shoulder press,Position a bench in front of the cable machine.,Grasp the stirrup (handle) with your right hand and sit on the bench facing away from the machine.,"Cross your right arm across your left chest, cross your left arm over your right arm and hold your right elbow with your left hand.","Plant your feet firmly on the ground.Keeping your hips and legs facing forward, rotate your torso to the left, towards the cable machine.",https://i.imgur.com/JheKMic.mp4,https://od.lk/s/NzVfMzI5OTEwODNf/97.mp3
98,Dumbbell one-Arm lateral raise,"Holding a stirrup in your left hand, sit on a stability ball, with the cable machine on your left side.",Place your right hand over your left hand.Roll down the ball until it is under your back.Roll down the ball until it is under your back.Spread your legs and plant the soles of your feet firmly on the ground.,"Raise your hips until they are level with your torso.Raise your hips until they are level with your torso.Straighten your elbows and raise your arms so that they are over your chest, perpendicular to your torso.","Keeping your hips still and facing upward, allow the resistance in the cable to rotate your torso to the left side, towards the pulley.",https://i.imgur.com/d5tGaiY.mp4,https://od.lk/s/NzVfMzI5OTEwODFf/98.mp3
99,Leaning dumbbell lateral raise,"Holding a dumbbell in one hand, grasp a pole, cable machine, or anything stable with your free hand","Position both feet under the hand with which you are grasping the pole and lean out to the side holding the dumbbell, allowing the dumbbell to hang straight down.",Flex your hips slightly so that you are leaning a little forward.,0,https://i.imgur.com/pndqC7z.mp4,https://od.lk/s/NzVfMzI5OTEwODBf/99.mp3
100,Dumbbell Scott press,Stand with a dumbbell in each hand.,"Raise the dumbbells to the height of your chin, with your elbows pointing diagonally out to the sides and your pinkie fingers raised higher than your thumbs.","Raise the dumbbell to the side of your shoulder. Your elbow should be directly out to your side, pointing downward, and your palm should be facing forward.",0,https://i.imgur.com/9ZRXLqs.mp4,https://od.lk/s/NzVfMzI5OTEwNzVf/100.mp3
101,Smith machine shoulder press,Set the Smith machine bar to upper-chest height.,Secure the Smith machine’s safety pins so that the bar can’t drop and injure you.,Stand under the bar and grasp it using a pronated (overhand) grip that is a little wider than shoulder width.,Unlatch the bar from the rail by rotating it.,https://i.imgur.com/NiPXxpP.mp4,https://od.lk/s/NzVfMzI5OTEwNzRf/101.mp3
102,Seated elbows-in alternating dumbbell overhead press,Sit on a chair or bench and place one dumbbell on each knee.,"Kick the dumbbells up with your knees, one at a time, and position them in front of your shoulders, with your elbows tucked into your body. Your elbows should be directly below your wrists and your palms should be facing each other (i.e. parallel or neutral grip).",0,0,https://i.imgur.com/X2cGa9y.mp4,https://od.lk/s/NzVfMzI5OTEwNzNf/102.mp3
103,Standing cable rear delt row with rope,Attach a rope to the cable pulley and adjust the pulley so that it is shoulder height.,Grasp one end of the rope in each hand and step backward until the rope is pulled taut and your arms and shoulders are stretched forward.,Stagger your feet for stability (put one foot in front of the other).,0,https://i.imgur.com/x7fS2rr.mp4,https://od.lk/s/NzVfMzI5OTEwNzJf/103.mp3
104,Double cable front raise,Attach stirrups (handles) to two low cable pulleys.,Grasp one stirrup in each hand and stand midway between the two pulleys.,Step forward until the cables are pulled taut and your arms are left a little behind you.,0,https://i.imgur.com/C5Megdz.mp4,https://od.lk/s/NzVfMzI5OTEwNzBf/104.mp3
105,One-Arm reverse dumbbell fly,"Holding a dumbbell in one hand, flex your hips and knees until your torso is parallel to the floor.","For stability, grasp something stable with your free hand. Your back should be straight and the arm with the dumbbell should be hanging straight down in front of you, with your palm facing inward (neutral grip).",0,0,https://i.imgur.com/9b3NJ2w.mp4,https://od.lk/s/NzVfMzI5OTEwNjlf/105.mp3
106,Seated alternating dumbbell curl,"Holding a dumbbell in each hand, sit on a bench or chair.","Allow the dumbbells to hang down by your sides, palms facing in (neutral grip).",0,0,https://i.imgur.com/8tPlctF.mp4,https://od.lk/s/NzVfMzI5OTEwNjhf/106.mp3
107,Underhand-grip inverted row,Position the Smith machine bar so that it’s slightly higher than arm’s length from the floor.,Lie under the bar with your legs and body straight.,Grasp the bar with a shoulder-width underhand grip (palms facing up).,Sit on the bench with the bar behind your shoulders.Grasp the bar with a wide overhand grip and unlatch it by rotating your wrists backward.,https://i.imgur.com/tUSPSr9.mp4,https://od.lk/s/NzVfMzI5OTEwNjVf/107.mp3
108,Barbell underhand-grip bent-over row,"Stand with a barbell in front of you, on the floor.","With your knees slightly flexed, bend over at the hips and grasp the barbell with an underhand grip (palms facing upward). Your torso should be parallel with the floor.",0,0,https://i.imgur.com/dPPc0xA.mp4,https://od.lk/s/NzVfMzI5OTEwNjNf/108.mp3
109,Seated barbell bent-knee good morning,"Stand holding a barbell at the back of your shoulders, grasping the barbell at each side.","Straddle and sit on a bench, with your knees bent. Your feet should be in front of your knees.",0,0,https://i.imgur.com/FZtywqX.mp4,https://od.lk/s/NzVfMzI5OTEwNjJf/109.mp3
110,Dumbbell straight-leg deadlift,"Holding a pair of dumbbells, stand with your feet shoulder-width or narrower apart.","Position the dumbbells in front of your hips, holding them side by side, with an overhand (pronated) grip.",0,0,https://i.imgur.com/LT8LKvN.mp4,https://od.lk/s/NzVfMzI5OTEwNjFf/110.mp3
111,Dumbbell suitcase carry,Stand holding a heavy dumbbell in your non-dominant hand.,Engage your core so that you can stand straight. Do not lean towards one side.,0,0,https://i.imgur.com/5f8UvqM.mp4,https://od.lk/s/NzVfMzI5OTEwNjBf/111.mp3
112,Barbell sumo Romanian deadlift,"Stand holding a barbell using a shoulder-width overhand grip, with your feet wide apart and pointing diagonally out to the sides. Your arms should be extended and the barbell should be resting against your thighs.",0,0,0,https://i.imgur.com/dzq48tl.mp4,https://od.lk/s/NzVfMzI5OTEwNTlf/112.mp3
113,Barbell bent-knee good morning,"With your feet hip-width apart, stand holding a barbell on the back of your shoulders, grasping the barbell at each side.",0,0,0,https://i.imgur.com/gtQTrBw.mp4,https://od.lk/s/NzVfMzI5OTEwNThf/113.mp3
114,Barbell good morning,"Stand holding a barbell on the back of your shoulders, grasping the barbell at each side.",0,0,0,https://i.imgur.com/vvQ4b3E.mp4,https://od.lk/s/NzVfMzI5OTEwNTdf/114.mp3
115,Smith machine shrug,Set the height of the bar of the Smith machine so that it’s just above knee height.,Set the safety pins to prevent the bar from being able to drop and potentially damage your legs.,Stand in front of the bar and grasp it using a shoulder-width pronated grip (palms facing your body).,"Unlatch the bar from the rail by rotating it, and stand up straight.",https://i.imgur.com/f8eh82u.mp4,https://od.lk/s/NzVfMzI5OTEwNTZf/115.mp3
116,Smith machine Yates row,Adjust the height of the Smith machine bar so that it is set at the height of your lower thighs.,Grasp the bar with a shoulder-width pronated (overhand) grip.,Lean forward at a 45-degree angle by flexing your hips and knees.,Unlatch the bar from the rail by rotating it.,https://i.imgur.com/7Q8fnL9.mp4,https://od.lk/s/NzVfMzI5OTEwNTRf/116.mp3
117,Machine front pull-down,Sit on the lat front pull-down machine and secure your thighs under the supports.,Grasp the lever handles. Your arms and shoulders should be fully extended upward.,0,0,https://i.imgur.com/FkyFnbf.mp4,https://od.lk/s/NzVfMzI5OTEwNTJf/117.mp3
118,Standing cable row,Attach a double-row bar (or two stirrups/handles) to a cable pulley that is a little lower than waist high.,Grasp the double-row bar with both hands and step back until the cable is pulled taut and your arms and shoulders are stretched forward.,Flex your hips and knees so that you are almost in a seated position.,0,https://i.imgur.com/2lnFhmJ.mp4,https://od.lk/s/NzVfMzI5OTEwNTFf/118.mp3
119,Rope lat pull-down,Sit on the cable machine.,Secure your legs under the thigh pad.,Grasp the rope with a neutral grip (palms facing each other). Your arms and shoulders should be fully extended upward.,0,https://i.imgur.com/tk97IRK.mp4,https://od.lk/s/NzVfMzI5OTEwNDlf/119.mp3
120,Lying reverse dumbbell fly,"Place two dumbbells on the floor, one on each side of a flat bench.",Lie prone (on your front) on the bench and grasp a dumbbell in each hand.,Spread your legs on the floor for support.,0,https://i.imgur.com/4JULtCq.mp4,https://od.lk/s/NzVfMzI5OTEwNDhf/120.mp3
121,Machine triceps dip,Sit on the triceps dip machine with your back against the pad.,"If possible, position the levers of the machine as close to your body as possible.",Grasp the levers.,0,https://i.imgur.com/aRkrXbY.mp4,https://od.lk/s/NzVfMzI5OTEwNDdf/121.mp3
122,Barbell drag curl,"Exhale as you flex your elbows and raise the barbell straight up the front of your body, keeping it close to the contours of your torso. To keep the barbell close to your body, you will have to pull your elbows backward. Keep raising the barbell as high as you can without allowing your elbows to travel forward.","At the top of the movement, hold for a count of two and squeeze your biceps.","Reverse the movement and lower the barbell back down the front of your body to the starting position, stopping with your elbows almost fully extended.",Repeat the barbell drag curl for the prescribed number of repetitions.,https://i.imgur.com/8VxPNJD.mp4,https://od.lk/s/NzVfMzI5OTEwNDZf/122.mp3
123,Lying dumbbell supination,Lie on your right side on a bench or on the floor.,"Using a pronated grip (your palm facing downward), grasp with your left hand a dumbbell that’s loaded unilaterally (loaded only on one side). Your thumb should be closest to the loaded side of the dumbbell.","Flex your elbow 90 degrees, and rest your forearm on your hip or on the side of your waist.",0,https://i.imgur.com/YppBz2q.mp4,https://od.lk/s/NzVfMzI5OTExNzBf/123.mp3
124,Lying dumbbell pronation,Lie on your right side on the floor or on a bench with your head resting in your right hand.,"Using a supinated grip (palm facing upward), grasp a unilaterally loaded dumbbell with your left hand, with your pinkie closest to the loaded side of the dumbbell.",Rest your upper arm on your side and flex your elbow 90 degrees.,0,https://i.imgur.com/urIvKLZ.mp4,https://od.lk/s/NzVfMzI5OTExNjlf/124.mp3
125,Dumbbell preacher curl,"Holding a dumbbell in each hand, sit on the preacher bench.","With your elbows flexed, place the backs of your upper arms flat on the arm rest.",Supinate your wrists (i.e. rotate them so that your palms face you).,0,https://i.imgur.com/AoQKFjk.mp4,https://od.lk/s/NzVfMzI5OTExNjhf/125.mp3
126,Smith machine JM press,Place a flat bench under the bar of the Smith machine so that after you lie down the bar will be able to descend to your upper chest/throat/chin region.,"To prevent the bar from being able to injure your person by dropping too low, secure the safety pins of the Smith machine.","Lie on your back (supine) on the bench and grasp the bar using a pronated (overhand) shoulder-width grip, Then Spread your legs and plant your feet flat on the floor for stability.",Unlatch the bar from the rail by rotating it.,https://i.imgur.com/Cemyesh.mp4,https://od.lk/s/NzVfMzI5OTExNjdf/126.mp3
127,,Sit on the lat front pull-down machine and secure your thighs under the supports.,Grasp the lever handles. Your arms and shoulders should be fully extended upward.,0,0,,
128,,Attach a double-row bar (or two stirrups/handles) to a cable pulley that is a little lower than waist high.,Grasp the double-row bar with both hands and step back until the cable is pulled taut and your arms and shoulders are stretched forward.,Flex your hips and knees so that you are almost in a seated position.,0,,
129,,Sit on the cable machine.,Secure your legs under the thigh pad.,Grasp the rope with a neutral grip (palms facing each other). Your arms and shoulders should be fully extended upward.,0,,
130,,"Place two dumbbells on the floor, one on each side of a flat bench.",Lie prone (on your front) on the bench and grasp a dumbbell in each hand.,Spread your legs on the floor for support.,0,,
131,,Sit on the triceps dip machine with your back against the pad.,"If possible, position the levers of the machine as close to your body as possible.",Grasp the levers.,0,,
132,,Stand holding a barbell using a shoulder-width underhand (supinated) grip. Your elbows should be almost fully extended and the barbell should be resting against your thighs.,0,0,0,,
133,,Lie on your right side on a bench or on the floor.,"Using a pronated grip (your palm facing downward), grasp with your left hand a dumbbell that’s loaded unilaterally (loaded only on one side). Your thumb should be closest to the loaded side of the dumbbell.","Flex your elbow 90 degrees, and rest your forearm on your hip or on the side of your waist.",0,,
134,,Lie on your right side on the floor or on a bench with your head resting in your right hand.,"Using a supinated grip (palm facing upward), grasp a unilaterally loaded dumbbell with your left hand, with your pinkie closest to the loaded side of the dumbbell.",Rest your upper arm on your side and flex your elbow 90 degrees.,0,,
135,,"Holding a dumbbell in each hand, sit on the preacher bench.","With your elbows flexed, place the backs of your upper arms flat on the arm rest.",Supinate your wrists (i.e. rotate them so that your palms face you).,0,,
136,,Place a flat bench under the bar of the Smith machine so that after you lie down the bar will be able to descend to your upper chest/throat/chin region.,"To prevent the bar from being able to injure your person by dropping too low, secure the safety pins of the Smith machine.",Lie on your back (supine) on the bench and grasp the bar using a pronated (overhand) shoulder-width grip.,Spread your legs and plant your feet flat on the floor for stability.Unlatch the bar from the rail by rotating it.,,
